capture_date,capture_file,state,agency,support,signed,link,addendum,date_only
2024-12-18 02:59:39,20241218025939.html,ALABAMA,Etowah County Sheriff's Office,Jail Enforcement Model,2020-06-09,https://www.ice.gov/doclib/287gMOA/287gJEM_ etowahCoAL_06-09-2020.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ALASKA,Department of Corrections,Warrant Service Officer,2020-07-24,https://www.ice.gov/doclib/287gMOA/287gWSO_DeptOfCorrectionsAK_07-24-2020.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ALASKA,Kodiak Police Department,Warrant Service Officer,2020-07-20,https://www.ice.gov/doclib/287gMOA/287gWSO_KodiakAk2020-07-20.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ARIZONA,Arizona Department of Corrections,Jail Enforcement Model,2020-06-16,https://www.ice.gov/doclib/287gMOA/287gJEM_ArizDOC_AZ_06-16-2020.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ARIZONA,La Paz County Sheriff's Office,Jail Enforcement Model,2020-03-12,https://www.ice.gov/doclib/287gMOA/287gJEM_LaPazCoAZ2020-03-12.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ARIZONA,La Paz County Sheriff's Office,Warrant Service Officer,2020-02-27,https://www.ice.gov/doclib/287gMOA/287gWSO_LaPazCoAz2020-02-27.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ARIZONA,Mesa Police Department,Jail Enforcement Model,2020-06-08,https://www.ice.gov/doclib/287gMOA/287gJEM_MesaPoliceDeptAZ_06-08-2020.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ARIZONA,Pinal County Sheriff's Office,Jail Enforcement Model,2020-06-09,https://www.ice.gov/doclib/287gMOA/287gJEM_PinalCoAz2020-06-09.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ARIZONA,Yavapai County Sheriff's Office,Jail Enforcement Model,2020-06-09,https://www.ice.gov/doclib/287gMOA/287gJEM_YvapaiCoAZ2020-06-09.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ARKANSAS,Benton County Sheriff's Office,Jail Enforcement Model,2020-06-30,https://www.ice.gov/doclib/287gMOA/287gJEM_BentonCoAR_06-30-2020.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,ARKANSAS,Craighead County Sheriff's Office,Jail Enforcement Model,2020-06-18,https://www.ice.gov/doclib/287gMOA/287gJEM_CraigheadCoAR_06-18-2020.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,COLORADO,Teller County Sheriff's Office,Jail Enforcement Model,2020-06-08,https://www.ice.gov/doclib/287gMOA/287gJEM_TellerCoCo2020-06-08.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Baker County Sheriff's Office,Warrant Service Officer,2019-10-15,https://www.ice.gov/doclib/287gMOA/287gWSO_BakerCoFl2019-10-15.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Bay County Sheriff's Office,Warrant Service Officer,2019-10-15,https://www.ice.gov/doclib/287gMOA/287gWSO_BayCoFl2019-10-15.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Bradford County Sheriff's Office,Warrant Service Officer,2019-10-15,https://www.ice.gov/doclib/287gMOA/287gWSO_BradfordCoFl2019-10-15.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Brevard County Sheriff's Office,Warrant Service Officer,2019-05-06,https://www.ice.gov/doclib/287gMOA/287gWSO_BrevardCoFl2019-05-06.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Broward County Sheriff's Office,Warrant Service Officer,2019-09-09,https://www.ice.gov/doclib/287gMOA/287gWSO_BrowardCoFl2019-09-09.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Calhoun County Sheriff's Office,Warrant Service Officer,2019-09-09,https://www.ice.gov/doclib/287gMOA/287gWSO_CalhounCoFl2019-09-09.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Charlotte County Sheriff's Office,Warrant Service Officer,2019-05-06,https://www.ice.gov/doclib/287gMOA/287gWSO_CharlotteCoFl2019-05-06.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Clay County Sheriff's Office,Jail Enforcement Model,2020-03-11,https://www.ice.gov/doclib/287gMOA/287gJEM_ClayCoFl2020-03-11.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Collier County Sheriff's Office,Jail Enforcement Model,2020-06-09,https://www.ice.gov/doclib/287gMOA/287gJEM_CollierCoFL2020-06-09.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Columbia County Sheriff's Office,Warrant Service Officer,2019-05-06,https://www.ice.gov/doclib/287gMOA/287gWSO_ColumbiaCoFl2019-05-06.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,DeSoto County Sheriff's Office,Warrant Service Officer,2019-10-15,https://www.ice.gov/doclib/287gMOA/287gWSO_DesotoCoFl2019-10-15.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Flagler County Sheriff's Office,Warrant Service Officer,2019-09-09,https://www.ice.gov/doclib/287gMOA/287gWSO_FlaglerCoFl2019-09-09.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Florida Department of Corrections,Jail Enforcement Model,2020-08-21,https://www.ice.gov/doclib/287gMOA/287gJEM_FL_DOC_FL_08-21-2020.pdf,,20241218
2024-12-18 02:59:39,20241218025939.html,FLORIDA,Franklin County Sheriff's Office,Warrant Service Officer,2019-10-15,https://www.ice.gov/doclib/287gMOA/287gWSO_FranklinCoFl2019-10-15.pdf,,20241218
