STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,,,,,,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Jail Enforcement Model,2025-05-08 00:00:00,link pending,,,,,,
ALABAMA,Colbert County Sheriff's Office,County,Colbert County,Warrant Service Officer,2025-05-08 00:00:00,link pending,,,,,,
ALABAMA,Crenshaw County Sheriff's Office,County,Crenshaw County,Warrant Service Officer,2025-04-16 00:00:00,link,,,,,,
ALABAMA,Elmore County Sheriff's Office,County,Elmore County,Jail Enforcement Model,2025-03-17 00:00:00,link,,,,,,
ALABAMA,Etowah County Sheriff's Office,County,Etowah County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Warrant Service Officer,2025-03-27 00:00:00,link,,,,,,
ALABAMA,Franklin County Sheriff's Office,County,Franklin County,Task Force Model,2025-03-25 00:00:00,link,,,,,,
ALABAMA,Henry County Sheriff's Office,County,Henry County,Jail Enforcement Model,2025-03-17 00:00:00,link,,,,,,
ALABAMA,Henry County Sheriff's Office,County,Henry County,Warrant Service Officer,2025-03-17 00:00:00,link,,,,,,
ALASKA,Alaska Department of Corrections,State Agency,#N/A,Warrant Service Officer,2020-07-24 00:00:00,link,,,,,,
ALASKA,Kodiak Police Department,Municipality,#N/A,Warrant Service Officer,2020-07-20 00:00:00,link,,,,,,
ARIZONA,Arizona Department of Corrections,State Agency,#N/A,Jail Enforcement Model,2020-06-16 00:00:00,link,,,,,,
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Jail Enforcement Model,2020-03-12 00:00:00,link,,,,,,
ARIZONA,La Paz County Sheriff's Office,County,La Paz County,Warrant Service Officer,2020-02-27 00:00:00,link,,,,,,
ARIZONA,Mesa Police Department,Municipality,#N/A,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
ARIZONA,Navajo County Sheriff's Office,County,Navajo County,Warrant Service Officer,2025-04-16 00:00:00,link,,,,,,
ARIZONA,Pinal County Sheriff's Office,County,Pinal County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
ARIZONA,Yavapai County Sheriff's Office,County,Yavapai County,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
ARKANSAS,Benton County Sheriff's Office,County,Benton County,Jail Enforcement Model,2020-06-30 00:00:00,link,,,,,,
ARKANSAS,Craighead County Sheriff's Office,County,Craighead County,Jail Enforcement Model,2020-06-18 00:00:00,link,,,,,,
COLORADO,Teller County Sheriff's Office,County,Teller County,Jail Enforcement Model,2020-06-08 00:00:00,link,,,,,,
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Alachua County Sheriff's Office,County,Alachua County,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Arcadia Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Baker County Sheriff's Office,County,Baker County,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Baker County Sheriff's Office,County,Baker County,Task Force Model,2025-02-26 00:00:00,link pending,,,,,,
FLORIDA,Bartow Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link,,,,,,
FLORIDA,Bay County Sheriff's Office,County,Bay County,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Bay County Sheriff's Office,County,Bay County ,Task Force Model,2025-02-26 00:00:00,link pending,,,,,,
FLORIDA,Belleair Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Blountstown Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Boca Raton Police Department,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Boynton Beach Police Department,Municipality,#N/A,Task Force Model,2025-05-08 00:00:00,link pending,,,,,,
FLORIDA,Bradenton Police Department,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Bradford County Sheriff's Office,County,Bradford County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,Bradford County Sheriff's Office,County,Bradford County ,Task Force Model,2025-02-26 00:00:00,link pending,,,,,,
FLORIDA,Brevard County Sheriff's Office,County,Brevard County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Brevard County Sheriff's Office,County,Brevard County ,Task Force Model,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Broward County Sheriff's Office,County,Broward County ,Warrant Service Officer,2019-09-09 00:00:00,link,,,,,,
FLORIDA,Broward County Sheriff's Office,County,Broward County ,Task Force Model,2025-02-26 00:00:00,link pending,,,,,,
FLORIDA,Calhoun County Sheriff's Office,County,Calhoun County ,Warrant Service Officer,2019-09-09 00:00:00,link,,,,,,
FLORIDA,Calhoun County Sheriff's Office,County,Calhoun County ,Task Force Model,2025-02-26 00:00:00,link pending,,,,,,
FLORIDA,Charlotte County Sheriff's Office,County,Charlotte County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Charlotte County Sheriff's Office,County,Charlotte County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Chattahoochee Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Citrus County Sheriff's Office,County,Citrus County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Citrus County Sheriff's Office,County,Citrus County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,City of Melbourne Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,City of Miami Springs Police Department,Municipality,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
FLORIDA,City of St. Cloud Police Department,Municipality,#N/A,Task Force Model,2025-04-15 00:00:00,link pending,,,,,,
FLORIDA,City of Zephyrhills Police Department,Municipality,#N/A,Task Force Model,2025-04-14 00:00:00,link pending,,,,,,
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Jail Enforcement Model,2020-03-11 00:00:00,link,,,,,,
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Clearwater Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Clermont Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Cocoa Beach Police Department,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Collier County Sheriff's Office,County,Collier County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
FLORIDA,Collier County Sheriff's Office,County,Collier County ,Task Force Model,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Columbia County Sheriff's Office,County,Columbia County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Columbia County Sheriff's Office,County,Columbia County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Coral Gables Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Davenport Police Department,Municipality,#N/A,Task Force Model,2025-04-25 00:00:00,link pending ,,,,,,
FLORIDA,Davie Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Daytona Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link,,,,,,
FLORIDA,Daytona Beach Shores Public Safety,Municipality,#N/A,Task Force Model,2025-03-10 00:00:00,link,,,,,,
FLORIDA,Deland Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,DeSoto County Sheriff's Office,County,DeSoto County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,DeSoto County Sheriff's Office,County,DeSoto County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Dixie County Sheriff's Office,County,Dixie County ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Dixie County Sheriff's Office,County,Dixie County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Edgewood Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Escambia County Sheriff's Office,County,Escambia County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Escambia County Sheriff's Office,County,Escambia County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Eustis Police Department,Municipality,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
FLORIDA,Flagler County Sheriff's Office,County,Flagler County ,Warrant Service Officer,2019-09-09 00:00:00,link,,,,,,
FLORIDA,Flagler County Sheriff's Office,County,Flagler County ,Task Force Model,2025-02-26 00:00:00,link pending ,,,,,,
FLORIDA,Florida A&M University Board of Trustees,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link,,,,,,
FLORIDA,Florida Department of Corrections,State Agency,#N/A,Jail Enforcement Model,2020-08-21 00:00:00,link,,,,,,
FLORIDA,Florida Department of Financial Services,State Agency,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
